No,Model,Sku ,Size,Selling price,Payout,Issues?,Location,Owner,Insurance Price,Consign Date,Sell Date,Buy in,Checked in/out from store,Bought in
,adidas Campus 00s Crystal White Core Black,gy0042,39 1/3,225,,,J5 Store,J5 Store,,,,88,,
,adidas Campus 00s Crystal White Core Black,gy0042,37 1/3,225,,,J5 Store,J5 Store,,,,88,,
,adidas Campus 00s Crystal White Core Black,gy0042,38,225,,,J5 Store,J5 Store,,,,88,,
,adidas Campus 00s Crystal White Core Black,gy0042,38,225,,,J5 Store,J5 Store,,,,88,,
,adidas Campus 00s Crystal White Core Black,gy0042,39 1/3,225,,,J5 Store,J5 Store,,,,88,,
,adidas Campus 00s Crystal White Core Black,gy0042,39 1/3,225,,,J5 Store,J5 Store,,,,88,,
 ,adidas Campus 00s Core Black,hq8708,40 2/3,225,,,J5 Store,J5 Store,,,,,,
,adidas Campus 00s Grey White,hq8707,46,225,,,J5 Store,J5 Store,,,,110,,
,adidas Campus 00s Grey White,hq8707,39 1/3,225,,,j5 store,j5 store,,,,,,
,yeezy slide onyx,hq6448,46,225,,,j5 store,j5 store,,,,,,
,yeezy slide azure,id4133,42,225,,,J5 Store,J5 Store,,,,,,
,Jordan Mid Gs University Blue Black ,dq8423401,39,225,,,J5 Store,J5 Store,,,,,,
GG0508,Dunk Low Halloween (2022) gs,dh9765003,37.5,235,140,,J5 store,Lino,,05-08-23,,,,
GG0509,Dunk Low Halloween (2022) gs,dh9765003,36,235,140,,J5 store,Lino,,05-08-23,,,,
GG0522,Dunk Low Halloween (2022) gs,dh9765003,38,235,140,,J5 store,Lino,,05-08-23,,,,
GG0528,Dunk Low Halloween (2022) gs,dh9765003,37.5,235,140,,J5 store,Lino,,05-08-23,,,,
GG0538,Jordan 1 Mid GS Barely Grape gs,dq8423501,39,235,150,,J5 store,Lino,,05-08-23,,,,
BE0602,jordan low golf,dd9315002,44,245,160,box without lid,,,,,,,,
GG0501,Jordan 1 Low Panda,dc0774101,44.5,245,160€,,J5 store,Lino,,05-08-23,,,,
GG0502,Jordan 1 Low Panda,dc0774101,41,245,160€,,J5 store,Lino,,05-08-23,,,,
GG0504,Nike Dunk Low Metallic Gold,dx5930001,41,245,175€,,J5 store,Lino,,05-08-23,,,,
GG0506,dunk low just do it white,dv1160100,44,245,165,,J5 store,Lino,,05-08-23,,,,
GG0507,Dunk Low Ivory Hyper Royal gs,fb1843141,37.5,245,150,,J5 store,Lino,,05-08-23,,,,
GG0517,Dunk High Blue Chill,dd1399401,46,245,170,,J5 store,Lino,,05-08-23,,,,
GG0518,Dunk Low WMNS Citron Pulse,dd1503002,44.5,245,160,,J5 store,Lino,,05-08-23,,,,
GG0520,Jordan 1 Low True Blue,553558412,41,245,150,,J5 store,Lino,,05-08-23,,,,
GG0521,Jordan 1 Mid True Blue,dq8423014,40,245,160,,J5 store,Lino,,05-08-23,,,,
GG0523,Dunk Low Ivory Hyper Royal gs,fb1843141,39,245,150,,J5 store,Lino,,05-08-23,,,,
GG0525,Dunk High Blue Chill,dd1399401,47.5,245,170,,J5 store,Lino,,05-08-23,,,,
GG0526,Dunk High Blue Chill,dd1399401,43,245,170,,J5 store,Lino,,05-08-23,,,,
GG0529,Dunk High Blue Chill,dd1399401,44,245,170,,J5 store,Lino,,05-08-23,,,,
GG0531,Jordan 1 Mid Lakers (2022) (GS),dq8423517,39,245,150,,J5 store,Lino,,05-08-23,,,,
GG0532,Jordan 1 Low True Blue (GS),553560412,39,245,150,,J5 store,Lino,,05-08-23,,,,
GG0533,Jordan 1 Mid GS Barely Grape gs,dq8423501,37.5,245,150,,J5 store,Lino,,05-08-23,,,,
GG0534,Jordan 1 Mid Lakers (2022) (GS),dq8423517,38.5,245,150,,J5 store,Lino,,05-08-23,,,,
GG0535,Jordan 1 Low True Blue ,553558412,45,245,160,,J5 store,Lino,,05-08-23,,,,
GG0536,Jordan 1 Low True Blue,dq8426014,44,245,160,,J5 store,Lino,,05-08-23,,,,
GG0539,Jordan 1 Low True Blue (GS),553560412,40,245,150,,J5 store,Lino,,05-08-23,,,,
GG0540,Jordan 1 Low True Blue,dq8423014,39,245,150,,J5 store,Lino,,05-08-23,,,,
,"New Balance 2002R Bordeaux
",M2002RHA,41.5,245,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,"Air Jordan 1 Mid Ice Blue (GS)
",555112401,38,245,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Dunk high - university red,DD1399106,42.5,245,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,"Nike Dunk Low Goldenrod (2021)
",DD1391004,41,245,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Jordan 1 Low UNC,CZ0775104,38.5,245,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Jordan 1 Mid ice blue,DV1308104,40.5,245,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Jordan 1 Mid ice blue,DV1308104,42,245,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Jordan 1 Mid ice blue,DV1308104,43,245,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Dunk Low Golden Swoosh,DX5930001,41,245,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Puma lamelo mb.02 be you purple,37828301,43,245,,,J5 store,J5 store,,,,,,
,Puma lamelo mb.02 be you purple,37828301,44.5,245,,,J5 store,J5 store,,,,,,
,Puma lamelo mb.02 be you purple,37828301,44,245,,,J5 store,J5 store,,,,,,
,Puma lamelo mb.02 be you purple,37828301,48,245,,,J5 store,J5 store,,,,,,
,Puma lamelo mb.02 be you purple,37828301,46,245,,,J5 store,J5 store,,,,,,
,Puma lamelo mb.02 be you purple,37828301,47,245,,,J5 store,J5 store,,,,,,
,Puma lamelo mb.02 be you purple,37828301,42,245,,,J5 store,J5 store,,,,,,
,Puma lamelo mb.02 be you purple,37828301,42.5,245,,,J5 store,J5 store,,,,,,
,Jordan 1 mid unc to Chicago ,fb2212100,39,245,,,J5 store,J5 store,,,,,,
,dunk high aluminium,dd1869107,37.5,245,,,J5 store,J5 store,,,,,,
,dunk high aluminium,dd1869107,39,245,,,J5 store,J5 store,,,,,,
,dunk high aluminium,dd1869107,38.5,245,,,J5 store,J5 store,,,,,,
Gz1101,next nature orewood dunk,dn1431100,39,245,160,,j5 store,Gosh ,10,,,,,
Gz1102,Dunk low hemp sail ,dd1873200,38,245,150,,j5 store,Gosh ,10,,,,,
TA1102,jordan 1 low wolf grey,dc0774105,36.5,245,170,,j5 store,Tariq,10,11/7/23,,,,
,Dunk high Blue chill,dd1399401,47,245,,,J5 store,J5 store,,,,90,,
TA1302,dunk grey corduroy,fn7658100,38.5,245,160,,j5 store,Tariq,,13/8/23,,,,
TA1303,dunk grey corduroy,fn7658100,37.5,245,160,,j5 store,Tariq,,13/8/23,,,,
TA1305,dunk pink corduroy ,Fn7167100,38.5,245,170,,j5 store,Tariq,,13/8/23,,,,
TA1306,dunk pink corduroy ,Fn7167100,37.5,245,170,,j5 store,Tariq,,13/8/23,,,,
TA1307,dunk light smoke grey ,dd1503117,40.5,245,160,,j5 store,Tariq,,13/8/23,,,,
TA1308,dunk light smoke grey ,dd1503117,38,245,160,,j5 store,Tariq,,13/8/23,,,,
TA1309,dunk light smoke grey ,dd1503117,40,245,160,,j5 store,Tariq,,13/8/23,,,,
TA1317,dunk sb low skate like a girl used,dx4589600,36.5,245,140,,j5 store,Tariq,,13/8/23,,,,
,Dunk low cacao,dd1503124,39,245,,,,,,,,120,,
,Dunk low cacao,dd1503124,38,245,,,,,,,,120,,
,dunk grey corduroy,fn7658100,39,245,,,j5 store,j5store,,,,120,,
,Dunk low pin curduroy ,Fn7167100,38,245,,,J5 store,J5 store,,,,120,,
,dunk low gorge green W,dd1503300,38,245,,,J5 store,J5,,,,125,,
,dunk low gorge green W,dd1503300,40,245,,,J5 store,J5,,,,125,,
,Puma lamelo mb.02 be you purple,37828301,42.5,245,,,J5 Store,J5 Store,,,,,,
,adidas campus 00s green,h03472,43 1/3,245,,,J5 Store,J5 Store,,,,,,
,adidas campus 00s green,h03472,43 1/3,245,,,J5 Store,J5 Store,,,,,,
,adidas campus 00s green,h03472,42 2/3,245,,,J5 Store,J5 Store,,,,,,
,adidas campus 00s green,h03472,44,245,,,J5 Store,J5 Store,,,,,,
,jordan 1 mid SE seahawks,dz5326300,44.5,245,,,J5 Store,J5 Store,,,,,,
AN1101,jordan 1 mid obsidian,554724174,45,245,150,,J5 Store,Anh,10,09-08-23,,,,
AN1102,jordan 1 mid strawberries and cream,bq6472186,44,245,120,,J5 Store,Anh,10,09-08-23,,,,
AN1104,jordan 1 mid obsidian,554724174,46,245,150,,J5 Store,Anh,10,09-08-23,,,,
,Dunk  sb High KCDC,dh7742600,42.5,245,,,J5 Store,J5 Store,,,,,,
LOAP0709,Nike Blazer Low x KAWS x sacai Team Red,dm7901600,41,245,,,J5 Store,LOAP,,,,,,
,yeezy slide bone,fz5897,39,245,,,J5 Store,J5 Store,,,,110,,
,yeezy slide bone,fz5897,42,245,,,J5 Store,J5 Store,,,,,,
,Air Jordan 1 Mid Medium Soft/Fierce Pink,fd8780116,38,245,,,J5 Store,J5 Store,,,,,,
GG0519,Jordan 1 Low Homage Split White Black,dr0502101,42,255,150,,J5 store,Lino,,05-08-23,,,,
TA1316,Jordan 1 low madder root,dc0774800,40,255,135,,j5 store,Tariq,,13/8/23,,,,
MO1501,yeezy foam rnnr carbon,ig5349,44.5,265,140,,J5 Store,Mo,,15-8-23,,,,
,Dunk Low Dark Marina Blue,dj6188400,45,265,,,J5 store,J5 store,,,,150,,deadstock 6-8-23
GG0515,Jordan 1 Mid Olive Toe,dv0427301,42,265,185,,J5 store,Lino,,05-08-23,,,,
GG0516,Jordan 1 Mid Olive Toe,dv0427301,37.5,265,185,,J5 store,Lino,,05-08-23,,,,
GG0527,Jordan 1 Mid University Blue Grey,dx9276100,43,265,190,,J5 store,Lino,,05-08-23,,,,
GG0537,Jordan 1 Mid University Blue Grey,dx9276100,43,265,180,,J5 store,Lino,,05-08-23,,,,
,air trainer travis wheat,DR7515200,40.5,265,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,"Air Jordan 1 Mid SE French Blue Light Steel (GS)
",DR6235401,36,265,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Jordan 1 Mid ice blue,DV1308104,44.5,265,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Jordan 1 Mid ice blue,DV1308104,47.5,265,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Dunk Low Photon Dust,dd1503103,39,265,,,J5 store,J5 store,,,,130,,
,Dunk Low Photon Dust,dd1503103,41,265,,,J5 store,J5 store,,,,140,,
,"new balance 2002R Mirage Green
",m2002rdd,41.5,265,,,J5 Store,J5 Store,,,,,,
,jordan 1 mid college grey,do7139002,44.5,265,,,J5 Store,J5 Store,,,,,,
,Dunk Low Disrupt 2 Green Snake,dv3206001,41,265,,,J5 Store,J5 Store,,,,,,
,yeezy foam rnnr carbon,IG5349,46,265,,,J5 Store,J5 Store,,,,105,,
,yeezy foam rnnr carbon,IG5349,46,265,,,J5 Store,J5 Store,,,,105,,
TA1310,dunk low fleece green ,dq7579300,41,265,170,,j5 store,Tariq,,13/8/23,,,,
TA1314,dunk high chocolate,dj6189200,40,265,170,,j5 store,Tariq,,13/8/23,,,,
TA1315,air max duck  honeydew,dz0482001,38.5,265,150,,j5 store,Tariq,,13/8/23,,,,
TA1318,dunk low sashiko blue,dvo834101,48.5,265,140,,j5 store,Tariq,,13/8/23,,,,
,Dunk low phonton dust,dd1503103,41,265,,,J5 Store,J5 Store,,,,120,,
,Dunk low college navy,Dd1768400,40,265,,,J5 Store,J5 Store,,,,,,
,dunk low pink foam red,cw1590601,38.5,265,,,J5 store,J5 store,,,,,,
,dunk low pink foam red,cw1590601,38,265,,,J5 store,J5 store,,,,,,
AN1601,Air max 1 mica green,Dz4549100,43,265,170,,J5 Store,Anh,10,16-8-23,,,,
AN1602,Air max 1 mica green,Dz4549100,43,265,170,,J5 Store,Anh,10,16-8-23,,,,
AN1603,Air max 1 mica green,Dz4549100,45,265,170,,J5 Store,Anh,10,16-8-23,,,,
AN1604,Air max 1 mica green,Dz4549100,45.5,265,170,,J5 Store,Anh,10,16-8-23,,,,
AN1605,Air max 1 shima shima,Fb8916100,41,265,170,,J5 Store,Anh,10,16-8-23,,,,
,Jordan 1 High CO Japan Neutral Grey,dc1788029,41,265,,,j5 store,j5 store,,,,,,
,dunk low argon,dm0121400,42,265,,,j5 store,j5 store,,,,,,
,yeezy foam rnnr carbon,IG5349,47,265,,,j5 store,j5 store,,,,,,
SAL1101,Yeezy foam rnnr carbon,Ig5349,44.5,265,140,,J5 Store,Sal,,,,,,
MO1401,yeezy foam rnnr carbon,ig5349,46,265,140,,J5 Store,Mo,10,14-8-23,,,,
MO1402,yeezy foam rnnr carbon,ig5349,48.5,265,160,,J5 Store,Mo,10,14-8-23,,,,
,Dunk High Michigan (2020),cz8149700,41,265,,,J5 Store,J5 Store,,,,,,
,Dunk  sb High reverse goldenrod,db1640001,44.5,265,,,J5 Store,J5 Store,,,,,,
,Dunk Low Disrupt 2 Mineral Clay,dv1026215,41,265,,,J5 Store,J5 Store,,,,,,
,Nike blazer low sacai KAWS neptune blue,dm7901400,40.5,265,,,J5 Store,J5 Store,,,,,,
,Dunk Low QS LeBron James Fruity Pebbles,dh8009600,41,265,,,J5 Store,J5 Store,,,,,,
,jordan 1 low sky j purple,dc0774502,39,265,,,J5 Store,J5 Store,,,,,,
,new balance 2002R Mirage Green,m2002rdd,42.5,265,,,J5 Store,J5 Store,,,,,,
 ,jordan 1 mid ice blue 2023,dv1308104,42.5,265,,,J5 Store,J5 Store,,,,,,
,jordan 1 mid ice blue 2023,dv1308104,44,265,,,J5 Store,J5 Store,,,,,,
,jordan 1 mid ice blue 2023,dv1308104,46,265,,,J5 Store,J5 Store,,,,,,
,jordan 1 mid ice blue 2023,dv1308104,44.5,265,,,J5 Store,J5 Store,,,,,,
